date,time_bst,requester,contract,request_type,notes
2026-04-02,17:53,Bob,Gladly,Admin / Template,"First Juro submission from Bob. Asked Elaine to confirm correct submission before targeting EOD Friday close"
2026-04-03,00:39,Bob,Gladly,Prioritisation,"Are you still on track to review Gladly today? If not let me know so I can set the right expectations. Elaine: Yes have it open — noted broad definition of 'today' given UK time"
2026-04-03,22:34,Bob,Gladly,Prioritisation,"How do the latest redlines look? Let me know if this will bleed into next week. Elaine: family emergency — stepped away"
2026-04-06,18:09,Bob,Gladly,Prioritisation,"Hope you had a restful weekend! Will you be able to return Gladly redlines today?"
2026-04-07,16:39,Bob,Gladly,Prioritisation,"Checking in on Gladly redlines — any update? Totally understand if working through backlog. Elaine: Almost done"
2026-04-07,17:53,Ryan,Komodo Health,Legal call,"Asked if Elaine available Thu 8:30am for 30-min call with Komodo Health legal team. Will share updated redlines in Juro"
2026-04-07,19:12,Palmer,Red Ventures,Guidance,"Asked Elaine to re-articulate why Section 9.1 can't be accepted so Palmer can go back to customer with substantive reasoning"
2026-04-08,10:40,Michael,Multiple / Harvey,Prioritisation,"Could you please come back to us today on requests above? Also need Harvey redlines today — customer is chasing us. Does that work?"
2026-04-08,10:57,Camilla,Partners Cap,Prioritisation,"One remaining redline on system data training clause. Customer very concerned; needed Elaine to respond today to calm concerns"
2026-04-08,13:17,Ernesto,Devrev (MSA),Prioritisation,"One remaining redline — looked fine. Wanted it returned today to pursue signatures"
2026-04-08,20:26,Ernesto,Airtable DPA,Prioritisation,"Customer chasing DPA edits urgently. Monika had done work; asked Elaine when ready. cc'd Bardia. Elaine: have Monica's comments will revert today — and did"
2026-04-08,21:30,Ryan,Harvey,Prioritisation,"P1 request — customer wants edits back this week. Uploaded MSA + DPA; accidentally uploaded over PCIG record — flagged"
2026-04-08,22:29,Palmer,Barrenjoey MNDA,Prioritisation,"Quick glance requested while Palmer on live call with them. Single updated redline; jurisdiction already agreed. Elaine turned it around immediately"
2026-04-08,22:37,Ernesto,Devrev DPA,Admin / Template,"Devrev also redlined DPA separately outside Juro. Fola later advised Juro attachments workaround + internal comment for Elaine"
2026-04-09,15:29,Bob,Astronomer,Legal call,"Asked if Elaine available 10:30am PT for call with Astronomer's legal team on outstanding security items. Elaine: no problem"
2026-04-09,16:39,Palmer,G2,Prioritisation,"Updated G2 redlines submitted. Meeting with customer next Tuesday. Asked Elaine to review before end of week"
